INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (1, 1, 'SWASTA', 690374, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (2, 2, 'PENELITIAN DOKTOR', 381460, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (4, 4, 'SWASTA', 691124, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (5, 5, 'PENELITIAN KESEHATAN', 614886, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (3, 3, 'PENELITIAN DOKTOR', 314169, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (6, 6, 'PENELITIAN KESEHATAN', 592860, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (7, 7, 'PENELITIAN KESEHATAN', 547237, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (8, 8, 'SWASTA', 431284, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (9, 9, 'PENELITIAN TESIS', 267226, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (10, 10, 'BUMN', 493785, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (11, 11, 'SWASTA', 687683, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (12, 12, 'PENELITIAN DINKES', 574765, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
INSERT INTO daftar_harga_layanan (dhl_id, kep_id, dhl_nama, dhl_biaya, dhl_deksripsi, dhl_hargavalidstart, dhl_hargavalidend) VALUES (13, 13, 'SWASTA', 677927, 'Penelitian yang mantap', '2020-12-01', '2021-01-15')
